ID,School,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Review status,Your notes,Final primary,Final secondary 1,Final secondary 2,Final secondary 3,Why I categorized it this way,Full written prompt,Word limit,Original category,Existing note,Reuse group,Campus count / duplicates,Changed from original?
15,Stanford University,Distinctive contribution,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.","Please describe what aspects of your life experiences, interests, and character would help you make a distinctive contribution as an undergraduate to Stanford University.",250w,Community & Contribution,Background/Identity or Community/Contribution based on essay,RG-015,1,Yes
16,University of Notre Dame,Distinctive personal experiences,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.","What is distinctive about your personal experiences and development (eg, family support, culture, disability, personal background, community)? Why are these experiences important to you and how will you enrich the Notre Dame community?",100w,Community & Contribution,Background/Identity or Community/Contribution based on essay,RG-016,1,Yes
17,Northwestern University,Diverse perspectives,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.","Northwestern is a place where people with diverse backgrounds from all over the world can study, live, and talk with one another. This range of experiences and viewpoints immeasurably enriches learning. How might your individual background contribute to this diversity of perspectives in Northwestern’s classrooms and around our campus?",199w,Community & Contribution,Background/Identity,RG-017,1,Yes
18,Johns Hopkins University,Engaging across differences and building bridges,Background & Identity,Disagreement,Contribution,,,,,,,,Background & Identity,Disagreement,Contribution,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement, Contribution.","At Johns Hopkins, community is built through dialogue, collaboration, and a willingness to engage across differences. Whether on campus or in the broader world, community depends on bridge builders who can listen to differing perspectives, challenge their own assumptions, or work together toward shared goals. Drawing on your own experiences, what have you learned about engaging across differences and how has it shaped the way you think about building bridges, enhancing community, and working with others?",350w,Community & Contribution,Background/Identity and Disagreement,RG-018,1,Yes
19,Harvey Mudd College,"Experiences, community, and problems to solve",Other,Community,Values,Contribution,,,,,,,Other,Community,Values,Contribution,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Community, Values, Contribution.","The problems that Harvey Mudd College students hope to tackle are shaped by their experiences, values, and communities. Through our intentionally interdisciplinary curriculum and our mission to develop “a clear understanding of the impact of their work,” Mudders develop the skills needed to address these complex challenges and contribute meaningfully to society. Share how an experience you’ve had or community you belong to has shaped the kinds of problems you want to solve and the impact you want to make.",500w,Community & Contribution,,RG-019,1,Yes
20,University of Pennsylvania,Explore community at Penn,Why Us,Contribution,Background & Identity,,,,,,,,Why Us,Contribution,Background & Identity,,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Contribution, Background & Identity.","How will you explore community at Penn? Consider how Penn will help shape your perspective, and how your experiences and perspective will help shape Penn.",200w,Community & Contribution,Why Us or Community,RG-020,1,Yes
21,Dartmouth College,Finding common ground,Background & Identity,Disagreement,,,,,,,,,Background & Identity,Disagreement,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement.","The social and family interactions of wild chimpanzees have been the focus of Dame Jane Goodall's research for decades. Her understanding of animal behavior prompted the English primatologist to see a lesson for human communities as well: ""Change happens by listening and then starting a dialogue with the people who are doing something you don't believe is right."" Channel Dame Goodall: Tell us about a moment when you engaged in a difficult conversation or encountered someone with an opinion or perspective that was different from your own. How did you find common ground?",250w,Community & Contribution,Background/Identity and Disagreement,RG-021,1,Yes
22,California Institute of Technology,Fun Question,Other,Contribution,,,,,,,,,Other,Contribution,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Contribution.,"Caltech students bring more than academic ability to the communities they join. What is something you would be excited to do, share, teach, make, start, or contribute as part of the Caltech community?",150w,Community & Contribution,Community or Contribution or Background/Identity,RG-022,1,Yes
23,Brown University,Growing up and contributing to Brown,Background & Identity,Contribution,Challenge & Growth,,,,,,,,Background & Identity,Contribution,Challenge & Growth,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution, Challenge & Growth.","Students entering Brown often find that making their home on College Hill naturally invites reflection on where they came from. Share how an aspect of your growing up has inspired or challenged you, and what unique contributions this might allow you to make to the Brown community.",250w,Community & Contribution,,RG-023,1,Yes
24,Washington and Lee University,Johnson Scholarship: education and social frameworks,Community,Values,Contribution,,,,,,,,Community,Values,Contribution,,"Centers a community, home environment, or tradition that shaped you—not merely what you will add to a future campus. Secondary overlap: Values, Contribution.","In his October 1963, A Talk to Teachers, James Baldwin said “…the whole process of education occurs within a social framework and is designed to perpetuate the aims of society.” Yet, as he aptly notes, “the paradox of education is precisely this – that as one begins to become conscious, one begins to examine the society in which he is being educated."" Baldwin suggests that the purpose of education is to teach us to think for ourselves, to question – and change – the “framework” that we have come to understand and accept. What norms of your home or community have you become conscious of during your time in high school, and how would you like to use that knowledge to make it a better place?",800w,Community & Contribution,,RG-024,1,Yes
25,Rice University,Joining a community of change agents,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.","Rice is strengthened by its diverse community of learning and discovery that produces leaders and change agents across the spectrum of human endeavor. What perspectives shaped by your background, experiences, upbringing, and/or cultural identity inspire you to join our community of change agents at Rice?",500w,Community & Contribution,,RG-025,1,Yes
26,Harvard University,Life experiences and contribution to Harvard,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.",Harvard has long recognized the importance of enrolling a student body with a diversity of perspectives and experiences. How will the life experiences that shaped who you are today enable you to contribute to Harvard?,150w,Community & Contribution,,RG-026,1,Yes
27,University of Richmond,Make a space more welcoming,Other,Contribution,,,,,,,,,Other,Contribution,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Contribution.,"Richmond is a community that strives to be relentlessly welcoming. Tell us about a time you made a space better for other people by helping them feel welcome, heard, included, or supported.",650w,Community & Contribution,,RG-027,1,Yes
28,Bowdoin College,Navigating through differences,Background & Identity,Disagreement,,,,,,,,,Background & Identity,Disagreement,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement.","Bowdoin believes that its broadly diverse and inclusive campus community prepares graduates to be contributing and useful citizens of the world. Every graduate of this institution should be confident in their preparation to be able to navigate through differences and in all sorts of situations. A Bowdoin education does not guarantee these skills, but it does impart a set of tools necessary to bravely enter unfamiliar conditions with the confidence to deal effectively with ambiguity. If you wish, you may share anything about the unique experiences and perspectives that you would bring with you to the Bowdoin campus and community or an experience you have had that required you to navigate across or through difference.",250w,Community & Contribution,,RG-028,1,Yes
29,Amherst College,Option A: Disagreement and connection,Background & Identity,Disagreement,,,,,,,,,Background & Identity,Disagreement,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement.","""We are working together to build a community that makes room for both true disagreement and true connection, one that practices the kind of recognition and robust negotiation that the everyday life of democracy requires, and one that explicitly prepares our students to work for the greater good in their professional and personal endeavors."" — Presidential Priorities: Serving the Greater Good. Tell us about a time that you engaged with a viewpoint different from your own. How did you enter that engagement, and what did you learn about yourself from it?",350w,Community & Contribution,,RG-029,1,Yes
30,Amherst College,Option A: Unique experiences,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.","""We seek an Amherst made stronger because it includes those whose experiences can enhance our understanding of our nation and our world. We do so in the faith that our humanity is an identity forged from diversity, and that our different perspectives enrich our inquiry, deepen our knowledge, strengthen our community, and prepare students to engage with an ever-changing world."" — from the Trustee Statement on Diversity and Community. In what ways could your unique experiences enhance our understanding of our nation and our world?",350w,Community & Contribution,,RG-030,1,Yes
31,Northwestern University,Personal context and Northwestern,Background & Identity,Why Us,Contribution,,,,,,,,Background & Identity,Why Us,Contribution,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Why Us, Contribution.","We want to be sure we’re considering your application in the context of your personal experiences: What aspects of your background (your identity, your school setting, your community, your household, etc.) have most shaped how you see yourself engaging in Northwestern’s community, be it academically, extracurricularly, culturally, politically, socially, or otherwise?",300w,Community & Contribution,,RG-031,1,Yes
32,University of California (systemwide),PIQ 1: Leadership experience,Other,Leadership,Contribution,,,,,,,,Other,Leadership,Contribution,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Leadership, Contribution.","Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time.",350w,Community & Contribution,"One systemwide row replacing 7 identical campus entries: UC Berkeley, UC Los Angeles, UC Davis, UC Irvine, UC San Diego, UC Santa Barbara, UC Santa Cruz.",RG-032,7,Yes
33,University of California (systemwide),PIQ 7: Made your community a better place,Other,Contribution,,,,,,,,,Other,Contribution,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Contribution.,What have you done to make your school or your community a better place?,350w,Community & Contribution,"One systemwide row replacing 7 identical campus entries: UC Berkeley, UC Los Angeles, UC Davis, UC Irvine, UC San Diego, UC Santa Barbara, UC Santa Cruz.",RG-033,7,Yes
34,Massachusetts Institute of Technology,Problems you want to tackle at MIT,Why Major,Why Us,Contribution,,,,,,,,Why Major,Why Us,Contribution,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Contribution.",How have your personal and academic experiences influenced the types of problems you would want to tackle with an MIT education and the impact you aim to make on your community?,200w,Community & Contribution,,RG-034,1,Yes
35,University of Texas at Austin,Proudest activity,Other,Activities & Impact,,,,,,,,,Other,Activities & Impact,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact.,"Think of all the activities — both in and outside of school — that you have been involved with during high school. Which one are you most proud of and why? (Guidance for students: This can include an extracurricular activity, a club/organization, volunteer activity, work or a family responsibility.)",300w,Community & Contribution,,RG-035,1,Yes
36,California Institute of Technology,Scholarly Character: Collaboration,Other,Collaboration,Intellectual Curiosity,,,,,,,,Other,Collaboration,Intellectual Curiosity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Collaboration, Intellectual Curiosity.","Tell us about a time your learning in STEM was shaped by another person or group — either because you needed help, offered help, changed your thinking through collaboration, or contributed to someone else's understanding. What did that experience teach you about learning and working with others?",200w,Community & Contribution,,RG-036,1,Yes
37,Georgetown University,School-specific: McCourt School of Public Policy,Why Major,Why Us,Service,,,,,,,,Why Major,Why Us,Service,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Service.",Describe your motivations for studying public policy and your commitment to public service; note the opportunity to study on the Capitol Campus. (Summarized from Georgetown's official page - verify exact current wording before use.),no limit,Community & Contribution,,RG-037,1,Yes
38,Georgetown University,School-specific: Walsh School of Foreign Service,Why Major,Why Us,Service,,,,,,,,Why Major,Why Us,Service,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Service.",Describe your motivations for studying international affairs and your commitment to global service. (Summarized from Georgetown's official page - verify exact current wording before use.),no limit,Community & Contribution,,RG-038,1,Yes
39,University of Notre Dame,Service to others,Other,Service,Contribution,,,,,,,,Other,Service,Contribution,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Service, Contribution.",Notre Dame’s undergraduate experience is characterized by a collective sense of care for every person. How do you foster service to others in your community?,100w,Community & Contribution,,RG-039,1,Yes
40,Villanova University,Technology and the common good,Other,Values,Contribution,,,,,,,,Other,Values,Contribution,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Contribution.","Villanova embraces Artificial Intelligence (AI) with a commitment to thoughtful, ethical use rooted in our Augustinian mission and values. How do you see technology helping you to lead, serve, and contribute to the common good?",no limit **[hand-classified]**,Community & Contribution,,RG-040,1,Yes
41,Duke University,Viewpoints and experiences,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.",We believe a wide range of viewpoints and experiences is essential to maintaining Duke’s vibrant living and learning community. Please share anything in this context that might help us better understand you and your potential contributions to Duke.,250w,Community & Contribution,,RG-041,1,Yes
42,Brown University,Your approach to the Open Curriculum,Why Us,Why Major,Intellectual Curiosity,Values,,,,,,,Why Us,Why Major,Intellectual Curiosity,Values,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Why Major, Intellectual Curiosity, Values.","""There is something distinctive about Brown students. It is a blend of intellectual curiosity, creativity, and humility. A commitment to collaboration. An openness to new ideas and perspectives. A desire to make the world better. And it is resilience: the ability to recover and thrive after experiencing difficulties."" From President Christina Paxson's 2025 Convocation Address. How will you use these characteristics or others to shape your approach to the Open Curriculum?",250w,Community & Contribution,,RG-042,1,Yes
43,University of Richmond,Your unique mark on a Spider community,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.","Richmond’s mascot is the Spider. Just as you are unique, this singular mascot represents over 52,680 unique species of spiders. Tell us about the communities, experiences, or ambitions that have shaped you into the unique person you are and how you will make your mark as part of a Spider community.",650w,Community & Contribution,,RG-043,1,Yes
44,Princeton University,Your Voice: service and civic engagement,Other,Service,Contribution,Values,,,,,,,Other,Service,Contribution,Values,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Service, Contribution, Values.",Princeton has a longstanding commitment to understanding our responsibility to society through service and civic engagement. How does your own story intersect with these ideals?,250w,Community & Contribution,,RG-044,1,Yes
45,Texas A&M University,A life event that prepared you for college,Challenge & Growth,,,,,,,,,,Challenge & Growth,,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it.",Describe a life event which you feel has prepared you to be successful in college.,250w  `→ moved from Personal Statement`,Challenge & Growth,,RG-045,1,No
46,Pomona College,An experience outside the classroom,Other,Challenge & Growth,Disagreement,,,,,,,,Other,Challenge & Growth,Disagreement,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Challenge & Growth, Disagreement.",Describe an experience you had outside the classroom that changed the way you think and/or how you engage with your peers. What was that experience and what did you learn from it?,250w,Challenge & Growth,,RG-046,1,Yes
47,Massachusetts Institute of Technology,An unexpected challenge,Challenge & Growth,,,,,,,,,,Challenge & Growth,,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it.",How did you manage a situation or challenge that you didn't expect? What did you learn from it?,200w,Challenge & Growth,,RG-047,1,No
48,Harvey Mudd College,Asking for help,Challenge & Growth,Collaboration,,,,,,,,,Challenge & Growth,Collaboration,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it. Secondary overlap: Collaboration.","No one succeeds alone, and at Harvey Mudd College, no one expects you to. In and out of the classroom, HMC students are encouraged to embrace challenges, collaborate with one another, and ask for support when they need it. Describe a time when asking for help made a difference in your work or wellbeing. What led you to reach out, and what did you take away from the experience?",250w  `→ moved from Community & Contribution`,Challenge & Growth,,RG-048,1,No
49,Washington and Lee University,Johnson Scholarship: an unexpected path,Challenge & Growth,,,,,,,,,,Challenge & Growth,,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it.","In mathematics, the shortest distance between two points on a flat surface is a straight line. While geometry is predictable, sometimes daily life is not. Reflect on a time when your path was not as simple or direct as anticipated. How did you manage, and what did you learn?",800w,Challenge & Growth,,RG-049,1,No
50,University of California (systemwide),PIQ 4: Educational opportunity or barrier,Challenge & Growth,Academic Context,,,,,,,,,Challenge & Growth,Academic Context,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it. Secondary overlap: Academic Context.",Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced.,350w,Challenge & Growth,"One systemwide row replacing 7 identical campus entries: UC Berkeley, UC Los Angeles, UC Davis, UC Irvine, UC San Diego, UC Santa Barbara, UC Santa Cruz.",RG-050,7,No
51,University of California (systemwide),PIQ 5: Most significant challenge,Challenge & Growth,,,,,,,,,,Challenge & Growth,,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it.",Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement?,350w,Challenge & Growth,"One systemwide row replacing 7 identical campus entries: UC Berkeley, UC Los Angeles, UC Davis, UC Irvine, UC San Diego, UC Santa Barbara, UC Santa Cruz.",RG-051,7,No
52,California Institute of Technology,Scholarly Character: Process,Challenge & Growth,Intellectual Curiosity,,,,,,,,,Challenge & Growth,Intellectual Curiosity,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it. Secondary overlap: Intellectual Curiosity.","Tell us about a time your approach to a STEM problem, concept, or project mattered as much as the outcome. How did you work through uncertainty or persist creatively in tackling the problem? What would you still defend about your process, regardless of the outcome?",200w,Challenge & Growth,,RG-052,1,No
53,Yale University,Short Take: grow or develop,Other,Challenge & Growth,Values,,,,,,,,Other,Challenge & Growth,Values,,"It asks what you hope to develop, not about an obstacle already faced, so growth remains secondary rather than primary. Secondary overlap: Challenge & Growth, Values.",What is one aspect of yourself that you hope to grow or develop during college?,200ch,Challenge & Growth,,RG-053,1,Yes
54,Texas A&M University,Your story,Challenge & Growth,Background & Identity,,,,,,,,,Challenge & Growth,Background & Identity,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it. Secondary overlap: Background & Identity.",Tell us your story. What unique opportunities or challenges have you experienced throughout your high school career that have shaped who you are today?,750w,Challenge & Growth,,RG-054,1,No
55,Davidson College,A curiosity that excites you,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.","Davidson encourages students to explore curiosities in and out of the classroom. What is a topic, activity or idea that excites you? Tell us why. Examples may include hobbies, books, interactions, music, podcasts, movies, etc.",300w,Intellectual Curiosity,,RG-055,1,Yes
56,Massachusetts Institute of Technology,A topic you could talk about for hours,Other,Intellectual Curiosity,,,,,,,,,Other,Intellectual Curiosity,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity.,"What's a topic, academic or non-academic, that you could talk about for hours?",50w,Intellectual Curiosity,,RG-056,1,Yes
57,Dartmouth College,Celebrate your nerdy side,Other,Intellectual Curiosity,,,,,,,,,Other,Intellectual Curiosity,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity.,Celebrate your nerdy side.,250w,Intellectual Curiosity,,RG-057,1,Yes
58,Wake Forest University,Five intriguing books,Reading List,,,,,,,,,,Reading List,,,,"This is specifically a book list, not a general intellectual-curiosity essay.",List five books you’ve read that have intrigued you.,no limit  `→ moved from Personal Statement`,Intellectual Curiosity,,RG-058,1,Yes
59,Stanford University,Genuinely excited about learning,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.",The Stanford community is deeply curious and driven to learn in and out of the classroom. Reflect on an idea or experience that makes you genuinely excited about learning.,250w,Intellectual Curiosity,,RG-059,1,Yes
60,Dartmouth College,Insight from reading,Other,Intellectual Curiosity,Values,,,,,,,,Other,Intellectual Curiosity,Values,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity, Values.","In an Instagram post, best-selling British author Matt Haig cheered the impact of reading. ""A good novel is the best invention humans have ever created for imagining other lives,"" he wrote. How have you experienced such insight from reading? What did you read and how did it alter the way you understand yourself and others?",250w  `→ moved from Personal Statement`,Intellectual Curiosity,,RG-060,1,Yes
61,Wake Forest University,Intellectual curiosity,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.","Tell us what piques your intellectual curiosity or has helped you understand the world’s complexity. This can include a work you’ve read, a project you’ve completed for a class, and even co-curricular activities in which you have been involved.",150w,Intellectual Curiosity,,RG-061,1,Yes
62,Haverford College,Intellectual curiosity at Haverford,Why Major,Intellectual Curiosity,Why Us,,,,,,,,Why Major,Intellectual Curiosity,Why Us,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity, Why Us.",Tell us about a topic or issue that sparks your curiosity and gets you intellectually excited. How do you hope to engage with this topic or issue at Haverford?,200w  `→ moved from Why Us`,Intellectual Curiosity,,RG-062,1,Yes
