ID,School,External ref,Prompt title,Review status,Proposed primary,Proposed secondaries,Proposed function,Final primary,Final secondaries,Final function,Why,Word limit,Requirement,Shared with,Full written prompt
47,Claremont McKenna College,supplement-open-academy-dialogue,Open Academy and constructive dialogue,reviewed,Background & Identity,Disagreement,demonstrate-growth,Background & Identity,Disagreement,demonstrate-growth,carried over from the hand review,250w,required,,"A critical part of fulfilling our mission is living out the commitments of CMC’s Open Academy: Freedom of Expression, Viewpoint Diversity, and Constructive Dialogue. We want to learn more about your commitment to listening and learning from others with different viewpoints, perspectives, and life experiences from your own. Describe a time when engaging with someone about a specific topic resulted in you changing your attitude, belief, or behavior, or you changed the belief or behavior of someone else. What was the change that occurred for you, and what facilitated that change? What did you learn from that experience, and how has it informed how you engage with others?"
48,Claremont McKenna College,supplement-why-cmc,Why Claremont McKenna,reviewed,Why Us,,connect-to-school,Why Us,,connect-to-school,carried over from the hand review,250w,required,,"CMC’s mission is to prepare students for thoughtful and productive lives and responsible leadership in business, government, and the professions. With this mission in mind, please explain why you want to attend Claremont McKenna College."
49,Colgate University,colgate-students-immerse-themselves-in-social-and,Colgate students immerse themselves in social and intellectual pursuits,reviewed,Why Us,Why Major; Intellectual Curiosity,connect-to-school,Why Us,Intellectual Curiosity; Why Major,connect-to-school,What inspires you and why you want to pursue it at Colgate.,200-250w,optional,,Colgate students immerse themselves in social and intellectual pursuits that inspire them. Tell us in 250 words or less what inspires you and why you want to pursue that at Colgate.
50,Colgate University,on-colgate-s-campus-students-engage-with-individuals,"On Colgate’s campus, students engage with individuals from a variety of",reviewed,Background & Identity,Community; Why Us,discuss-future-contribution,Background & Identity,Community; Why Us,discuss-future-contribution,"The benefits you see in engaging with a diverse campus, forward-looking.",200-250w,optional,,"On Colgate’s campus, students engage with individuals from a variety of socioeconomic backgrounds, races, ethnicities, religions, and perspectives during the course of their educational and social experiences. In 250 words or less, please share the benefits you see in engaging with a diverse body of students, faculty, and staff as part of your Colgate experience."
51,Colgate University,please-complete-the-following-so-we-can-learn-a-bit,Please complete the following so we can learn a bit more about you,reviewed,Short Answer,,describe,Short Answer,,describe,Thirteen sentence stems at 13 words each: the short-form list format.,13w,optional,,"Please complete the following so we can learn a bit more about you. Each response should be no more than 13 words. 1. I am fascinated by… 2. My favorite book, movie, or television show is… 3. The person I admire most is… 4. In the future, I hope to… 5. One historical figure I would like to meet is… 6. My favorite food is… 7. One thing I would change is… 8. My favorite place is… 9. I am the best version of myself when… 10. Something that has changed my perspective is… 11. I am seeking a community that… 12. My favorite family/community/cultural tradition is… 13. I am drawn to Colgate University because…"
52,Colorado College,optional-deep-focus,The luxury of focus,reviewed,Other,Challenge & Growth; Intellectual Curiosity,describe,Other,Challenge & Growth; Intellectual Curiosity,describe,carried over from the hand review,300w,optional,,"One of the benefits of Colorado College’s Block Plan is the opportunity to immerse yourself fully in a single subject for 3.5 weeks. We see this as the luxury of focus—the joy and value of directing your full attention to one thing. Tell us about a time when you experienced this kind of deep focus in an academic or extracurricular setting. What were you doing, and how did it turn out?"
53,Columbia University,at-columbia-students-representing-a-wide-range-of,"At Columbia, students representing a wide range of perspectives are",reviewed,Background & Identity,Disagreement,demonstrate-growth,Background & Identity,Disagreement,demonstrate-growth,A time you disagreed and what you took away - filed as Harvard's and Amherst's disagreement prompts are.,150w,required,,"At Columbia, students representing a wide range of perspectives are invited to live and learn together. In such a community, questions and debates naturally arise. Please describe a time when you did not agree with someone and discuss how you engaged with them and what you took away from the interaction."
54,Columbia University,in-college-university-students-are-often-challenged-in,"In college/university, students are often challenged in ways that they",reviewed,Challenge & Growth,,demonstrate-growth,Challenge & Growth,,demonstrate-growth,Navigating adversity and how you changed as a result.,150w,required,,"In college/university, students are often challenged in ways that they could not anticipate. Please describe a situation in which you have navigated through adversity and discuss how you changed as a result."
55,Columbia University,list-the-titles-of-texts-resources-and-outlets-that,"List the titles of texts, resources and outlets that have contributed",reviewed,Reading List,Intellectual Curiosity,describe,Reading List,Intellectual Curiosity,describe,"List the titles of texts and outlets: a list of works, not an essay about them.",100w,required,,"List the titles of texts, resources and outlets that have contributed to your intellectual development outside of academic courses, including but not limited to books, journals, websites, podcasts, essays, plays, presentations, videos, museums and other content that you enjoy."
56,Columbia University,tell-us-about-an-aspect-of-your-life-so-far-or-your,Tell us about an aspect of your life so far or your lived experience,reviewed,Background & Identity,Community; Why Us; Contribution,discuss-future-contribution,Background & Identity,Community; Contribution; Why Us,discuss-future-contribution,Lived experience and how it shapes what you would contribute at Columbia.,150w,required,,"Tell us about an aspect of your life so far or your lived experience that is important to you, and describe how it has shaped the way you would learn from and contribute to Columbia's multidimensional and collaborative environment."
57,Columbia University,what-attracts-you-to-your-preferred-areas-of-study-at,What attracts you to your preferred areas of study at Columbia College,reviewed,Why Major,Why Us,explain-motivation,Why Major,Why Us,explain-motivation,What attracts you to your preferred areas of study.,150w,conditional,,What attracts you to your preferred areas of study at Columbia College or Columbia Engineering?
58,Columbia University,why-are-you-interested-in-attending-columbia-university,Why are you interested in attending Columbia University,reviewed,Why Us,,connect-to-school,Why Us,,connect-to-school,"Why Columbia, explicitly about what is unique to it.",150w,required,,Why are you interested in attending Columbia University? We encourage you to consider the aspect(s) that you find unique and compelling about Columbia.
59,Cornell University,at-the-college-of-arts-and-sciences-your-education-is,"At the College of Arts and Sciences, your education is yours to shape",reviewed,Why Major,Why Us; Intellectual Curiosity; Course,connect-to-school,Why Major,Why Us; Intellectual Curiosity; Course,connect-to-school,An intellectual passion plus which parts of the liberal arts curriculum you would draw on.,650w,conditional,,"At the College of Arts and Sciences, your education is yours to shape. Describe an intellectual passion, question, or idea that has captured your attention—whether it emerges from your studies or extends beyond your coursework. What specific aspects of our liberal arts curriculum would you draw on to explore and connect your varied interests?"
60,Cornell University,describe-a-fashion-brand-retailer-product-campaign,"Describe a fashion brand, retailer, product, campaign, resale platform",reviewed,Other,Intellectual Curiosity; Creativity,reflect,Other,Intellectual Curiosity; Creativity,reflect,"A fashion object or campaign that changed your thinking, and the larger question it raised.",150w,conditional,,"Describe a fashion brand, retailer, product, campaign, resale platform, event, or consumer behavior that has made you think differently about the fashion industry. What did you notice, and what larger question did it raise for you about value, identity, labor, sustainability, technology, culture, or markets?"
61,Cornell University,describe-how-your-interests-connect-to-architecture,Describe how your interests connect to architecture,reviewed,Why Major,Activities & Impact; Creativity,explain-motivation,Why Major,Creativity; Activities & Impact,explain-motivation,"How your interests connect to architecture, through a project that sparked it.",650w,conditional,,"Describe how your interests connect to architecture. Include an example of a creative project, design experience, or personal passion that sparked your interest in pursuing a 5-year professional degree in architecture. Reflect on how this experience shaped your understanding of the field and your motivation to study architecture."
62,Cornell University,describe-one-garment-accessory-textile-image-or-object,"Describe one garment, accessory, textile, image, or object that changed",reviewed,Other,Creativity; Intellectual Curiosity,describe,Other,Creativity; Intellectual Curiosity,describe,One garment or object and what you noticed about its form and meaning.,150w,conditional,,"Describe one garment, accessory, textile, image, or object that changed the way you think about fashion or design. What did you notice about its form, material, construction, proportion, movement, or meaning? BE specific about what you saw and why it stayed with you."
63,Cornell University,describe-your-interest-in-urban-and-regional-studies,Describe your interest in urban and regional studies,reviewed,Why Major,Why Us; Community; Goals & Future,explain-motivation,Why Major,Why Us; Community; Goals & Future,explain-motivation,Interest in urban and regional studies and how Cornell's programme fits your goals.,650w,conditional,,"Describe your interest in urban and regional studies. Discuss experiences, ideas, or issues that have shaped your interest in cities, communities, and regional systems, and explain how URS at Cornell aligns with your academic and career goals."
64,Cornell University,discuss-your-interest-in-pursuing-a-major-in-policy-at,Discuss your interest in pursuing a major in policy at the Cornell Jeb E,reviewed,Why Major,Why Us; Activities & Impact; Values; Goals & Future,explain-motivation,Why Major,Why Us; Values; Goals & Future; Activities & Impact,explain-motivation,"Interest in policy, drawing on experience, values and activities.",650w,conditional,,"Discuss your interest in pursuing a major in policy at the Cornell Jeb E. Brooks School of Public Policy and what draws you to this field of study. You are encouraged to consider including details related to your personal experiences, values, academic influences, or extracurricular activities that have shaped your perspective and future goals."
65,Cornell University,fashion-design-involves-translating-ideas-into-material,Fashion design involves translating ideas into material form for real,reviewed,Why Major,Creativity; Values; Goals & Future,explain-motivation,Why Major,Creativity; Values; Goals & Future,explain-motivation,"A critique of fashion you hope to explore through the major, and why it matters.",150w,conditional,,"Fashion design involves translating ideas into material form for real bodies, lives, and contexts, but it can fall short of those goals. Tell us about one critique of fashion that you hope to explore through fashion design, and why does it matter to you?"
66,Cornell University,fashion-design-management-sits-at-the-intersection-of,"Fashion Design Management sits at the intersection of design, business",reviewed,Why Major,Creativity; Goals & Future,state-a-future-goal,Why Major,Creativity; Goals & Future,state-a-future-goal,Which part of the intersection interests you and what problem you want to learn to address.,150w,conditional,,"Fashion Design Management sits at the intersection of design, business, culture, and systems. What part of that intersection most interests you right now, and what kind of problem would you like to learn how to address?"
67,Cornell University,fundamentally-engineering-is-the-application-of-math,"Fundamentally, engineering is the application of math, science, and",reviewed,Why Major,,explain-motivation,Why Major,,explain-motivation,Why do you want to study engineering.,200w,conditional,,"Fundamentally, engineering is the application of math, science, and technology to solve complex problems. Why do you want to study engineering?"
68,Cornell University,please-describe-why-you-are-interested-in-being,Please describe why you are interested in being considered for the,reviewed,Why Us,Why Major; Goals & Future,connect-to-school,Why Us,Why Major; Goals & Future,connect-to-school,Why you want to be considered for one named Cornell programme.,350w,conditional,,Please describe why you are interested in being considered for the Brooks School DC Start program.
69,Cornell University,submit-an-artist-statement-describing-your-creative,Submit an artist statement describing your creative interests and,reviewed,Why Major,Why Us; Creativity,connect-to-school,Why Major,Creativity; Why Us,connect-to-school,An artist statement plus how studying at Cornell AAP would expand your practice.,650w,conditional,,"Submit an artist statement describing your creative interests and practice. Address how your work reflects your artistic voice, influences, and process, and how studying art at Cornell AAP would support and expand your practice. (You will also be prompted to upload a copy to your Slideroom portal.)"
70,Cornell University,tell-us-about-a-time-you-had-to-make-a-decision,Tell us about a time you had to make a decision involving competing,reviewed,Challenge & Growth,Values,demonstrate-growth,Challenge & Growth,Values,demonstrate-growth,"A decision with competing priorities, what you decided and what you learned.",150w,conditional,,"Tell us about a time you had to make a decision involving competing priorities. In the fashion industry, for example, those in the management field are constantly navigating decisions balancing aesthetics and cost, speed and quality, profit and ethics, individual taste and group needs, or creativity and practicality. Your example does not have to relate to fashion because we want to know about your process and how your mind thinks. What did you decide, and what did you learn?"
