Princeton University	More About You: soundtrack of your life	Short Answer		DESC
Princeton University	More About You: what brings you joy	Short Answer		DESC
Stanford University	Note to your future roommate	Roommate		DESC
Harvard University	Top 3 things your roommates might like to know	Roommate		DESC
Wake Forest University	Top Ten List	Short Answer		DESC
Brown University	What brings you joy	Short Answer	Values	DESC
University of Texas at Austin	Academic circumstances	Challenge & Growth	Academic Context	DESC
Harvard University	Activities, employment, travel, or family responsibilities	Other	Activities & Impact	DESC
Stanford University	An extracurricular, job, or responsibility	Other	Activities & Impact	DESC
Oberlin College	BA+BFA: artistic influences	Other	Creativity;Intellectual Curiosity	DESC
Vanderbilt University	Dare to grow	Background & Identity	Challenge & Growth;Contribution	GROWTH
Dartmouth College	Embracing difference	Background & Identity	Values	REFL
Boston College	Human-Centered Engineering and the Common Good	Why Major	Why Us;Contribution	SCHOOL
Washington and Lee University	Johnson Scholarship: authentic representation	Other	Background & Identity;Challenge & Growth	GROWTH
Washington and Lee University	Life outside school	Other	Activities & Impact;Contribution	GROWTH
Northwestern University	Painting The Rock	Other	Values;Contribution	SCHOOL
Georgetown University	Personal or creative essay	Personal Statement		REFL
Rice University	Residential College perspectives	Background & Identity	Contribution	FUTURE
Boston College	The danger of a single story	Background & Identity	Challenge & Growth	GROWTH
Washington and Lee University	The story of your name	Background & Identity		DESC
Princeton University	Your Voice: lived experience	Background & Identity	Disagreement;Contribution	FUTURE
Yale University	A topic or idea that excites you	Why Major	Intellectual Curiosity	DESC
Rice University	Academic areas at Rice	Why Major	Why Us	SCHOOL
Pomona College	Academic interest	Why Major	Intellectual Curiosity	MOTIV
Princeton University	Academic interest (A.B. degree or undecided)	Why Major	Intellectual Curiosity;Why Us	SCHOOL
Princeton University	Academic interest (B.S.E. degree)	Why Major	Why Us;Activities & Impact	SCHOOL
Yale University	Academic interests	Why Major	Intellectual Curiosity	DESC
University of Colorado Boulder	Academic interests at CU Boulder	Why Major	Intellectual Curiosity	MOTIV
Northwestern University	An interdisciplinary project	Other	Course;Intellectual Curiosity;Collaboration	FUTURE
Oberlin College	BA+BFA: integrated-arts vision	Why Major	Why Us;Creativity	SCHOOL
Massachusetts Institute of Technology	Field of study that appeals to you	Why Major	Intellectual Curiosity	MOTIV
University of Texas at Austin	First-choice major	Why Major		MOTIV
University of Illinois Urbana-Champaign	First-choice major: goals after Illinois	Why Major	Goals & Future	GOAL
University of Illinois Urbana-Champaign	First-choice major: related experience	Why Major	Activities & Impact	DESC
Massachusetts Institute of Technology	Generalist or specialist	Other	Intellectual Curiosity;Values	REFL
California Institute of Technology	Optional Academic Context	Other	Academic Context	DESC
Carnegie Mellon University	Passion behind your intended area of study	Why Major	Intellectual Curiosity	MOTIV
UC_SYSTEMWIDE	PIQ 6: An academic subject that inspires you	Why Major	Intellectual Curiosity	IMPACT
Texas A&M University	Plans beyond a bachelor's degree	Other	Goals & Future	GOAL
Brown University	PLME: What will make you a great doctor?	Other	Values;Goals & Future	REFL
Brown University	PLME: Why medicine?	Why Major		MOTIV
Tufts University	Portfolio and academic inspiration	Why Major	Creativity;Intellectual Curiosity	DESC
California Institute of Technology	Required STEM Academic Interest	Why Major	Intellectual Curiosity	MOTIV
Georgetown University	School-specific: College of Arts & Sciences	Why Major	Why Us	MOTIV
University of Pennsylvania	School-specific: Engineering	Why Major	Why Us	SCHOOL
Georgetown University	School-specific: School of Health	Why Major	Goals & Future	MOTIV
University of Illinois Urbana-Champaign	Second-choice major interest	Why Major	Goals & Future	MOTIV
Oberlin College	TIMARA: artistic and academic goals	Why Major	Goals & Future;Creativity	GOAL
University of Illinois Urbana-Champaign	Undeclared: academic interests	Why Major		DESC
University of Illinois Urbana-Champaign	Undeclared: future goals	Why Major	Goals & Future	GOAL
University of Pennsylvania	VIPER: Major combination	Why Major	Why Us	MOTIV
Texas A&M University	Why your chosen major	Why Major		MOTIV
North Carolina State University	Why your selected academic programs	Why Major	Why Us	SCHOOL
Boston College	A meaningful tradition	Community	Values	REFL
Brown University	Brown | RISD Dual Degree	Why Us	Why Major;Contribution;Creativity	SCHOOL
University of Rochester	Combine curiosity, creativity, and Rochester opportunities	Why Us	Why Major;Intellectual Curiosity	SCHOOL
Dartmouth College	Dartmouth fit	Why Us		SCHOOL
Pitzer College	Engaging with a Pitzer core value	Other	Values;Contribution;Activities & Impact	IMPACT
University of Pennsylvania	Huntsman: International studies and business	Why Major	Why Us;Contribution	MOTIV
Tufts University	Learning about and engaging with Tufts	Why Us		SCHOOL
University of Pennsylvania	LSM: Life sciences and management	Why Major	Why Us;Intellectual Curiosity	SCHOOL
Northwestern University	Northwestern's location	Why Us		SCHOOL
Claremont McKenna College	Open Academy and constructive dialogue	Background & Identity	Disagreement	GROWTH
Brown University	PLME: Why PLME?	Why Us		SCHOOL
University of Pennsylvania	School-specific: Nursing	Why Major	Why Us;Contribution;Goals & Future	SCHOOL
University of Michigan	Specific undergraduate school or college	Why Us	Why Major	SCHOOL
Rice University	The Rice experience	Why Us		SCHOOL
Harvard University	Using your Harvard education	Other	Goals & Future;Contribution	GOAL
University of Pennsylvania	VIC: Visual and Interactive Computing	Why Major	Why Us	SCHOOL
Villanova University	Villanova as your new home	Why Us		SCHOOL
Claremont McKenna College	Why Claremont McKenna	Why Us		SCHOOL
Davidson College	Why Davidson	Why Us		SCHOOL
Duke University	Why Duke	Why Us	Why Major;Values	SCHOOL
Texas A&M University	Why Texas A&M	Why Us		SCHOOL
University of Massachusetts Amherst	Why this major?	Why Major		MOTIV
University of Massachusetts Amherst	Why UMass Amherst?	Why Us		SCHOOL
Washington and Lee University	Why W&L?	Why Us		SCHOOL
Wake Forest University	Why Wake?	Why Us		SCHOOL
Pitzer College	Your college experience and Pitzer fit	Why Us	Activities & Impact;Creativity	SCHOOL
Georgetown University	A differing viewpoint	Background & Identity	Disagreement	GROWTH
Tufts University	A favorite school assignment	Other	Intellectual Curiosity	DESC
Villanova University	A lesson in life	Other	Values	REFL
Boston College	A meaningful conversation partner	Other	Values;Intellectual Curiosity	DESC
Tufts University	A specific portfolio piece	Other	Creativity	DESC
Harvard University	A strong disagreement	Background & Identity	Disagreement	GROWTH
Carnegie Mellon University	A successful college experience	Other	Values;Goals & Future	GOAL
Texas A&M University	Additional context	Challenge & Growth		DESC
Tufts University	An engineering or science project	Other	Activities & Impact;Creativity	DESC
Wellesley College	Building bridges across perspectives	Background & Identity	Disagreement;Contribution	GROWTH
Yale University	Choose One: an opposing view	Background & Identity	Disagreement	REFL
Yale University	Choose One: personal experience	Background & Identity	Contribution	REFL
University of Notre Dame	College-search non-negotiables	Other	Why Us;Values	DESC
Oberlin College	Composition: aspirations	Why Major	Why Us;Goals & Future	GOAL
Oberlin College	Composition: development and influences	Why Major	Intellectual Curiosity;Creativity	DESC
Duke University	Difference of opinion	Background & Identity	Disagreement	GROWTH
University of Notre Dame	Faith and decisions	Other	Values;Background & Identity	REFL
Stanford University	Five things that matter to you	Short Answer	Values	DESC
Stanford University	Historical moment you wish you'd witnessed	Short Answer	Intellectual Curiosity	DESC
Pomona College	How others would describe you	Other	Background & Identity	DESC
University of Pennsylvania	Huntsman: Target-language experience	Why Major	Background & Identity;Intellectual Curiosity	DESC
Dartmouth College	Introduce yourself	Personal Statement		REFL
Washington and Lee University	Johnson Scholarship: a work of art	Other	Intellectual Curiosity;Values	GROWTH
Washington and Lee University	Johnson Scholarship: design a Spring Term course	Other	Course;Intellectual Curiosity	FUTURE
University of Michigan	Leaders and citizens	Other	Contribution;Leadership;Goals & Future	FUTURE
University of Pennsylvania	M&T: Engineering and business perspectives	Why Us	Why Major;Goals & Future	SCHOOL
University of Pennsylvania	M&T: Something you built	Other	Activities & Impact;Creativity	DESC
Princeton University	More About You: a new skill	Short Answer	Intellectual Curiosity	GOAL
Georgetown University	Most significant activity	Other	Activities & Impact	REFL
University of Pennsylvania	NHCM: Nursing and Healthcare Management	Why Major	Why Us;Goals & Future	SCHOOL
UC_SYSTEMWIDE	PIQ 2: Creative side	Other	Creativity	DESC
UC_SYSTEMWIDE	PIQ 3: Greatest talent or skill	Other	Activities & Impact	IMPACT
UC_SYSTEMWIDE	PIQ 8: What makes you a strong candidate	Other		REFL
University of Texas at Austin	School of Architecture	Why Major	Values;Goals & Future	REFL
University of Texas at Austin	School of Nursing	Why Major	Activities & Impact;Goals & Future	MOTIV
Georgetown University	School-specific: Berkley School of Nursing	Why Major	Values	MOTIV
University of Pennsylvania	School-specific: College of Arts and Sciences	Why Major	Why Us;Intellectual Curiosity	SCHOOL
Georgetown University	School-specific: Earth Commons Institute	Why Major	Contribution;Goals & Future	MOTIV
Georgetown University	School-specific: McDonough School of Business	Why Major	Values	MOTIV
University of Pennsylvania	School-specific: Wharton	Why Major	Why Us;Intellectual Curiosity	SCHOOL
California Institute of Technology	Scientific Drive: Making	Other	Activities & Impact;Creativity	DESC
Yale University	Short Take: not included elsewhere	Short Answer		DESC
Yale University	Short Take: teach, write, or create	Short Answer	Course;Creativity	DESC
Stanford University	Significant challenge society faces	Other	Values;Intellectual Curiosity	DESC
Villanova University	Someone borrowing your strength	Other	Contribution;Values	IMPACT
Massachusetts Institute of Technology	Someone you admire	Other	Values	DESC
Duke University	Something you are excited about	Short Answer	Intellectual Curiosity	DESC
Brown University	Teach a class	Other	Course;Intellectual Curiosity	DESC
University of Pennsylvania	Thank-you note	Other	Values	DESC
Colorado College	The luxury of focus	Other	Intellectual Curiosity;Challenge & Growth	DESC
Bowdoin College	The Offer of the College	Other	Values	REFL
University of Richmond	Turn ideas into actions	Other	Activities & Impact;Contribution;Challenge & Growth	GROWTH
University of Pennsylvania	VIPER: Energy science and technology	Why Major	Why Us;Goals & Future	SCHOOL
University of Notre Dame	What would you fight for?	Other	Values	REFL
Carnegie Mellon University	What you want to emphasize	Other		REFL
Dartmouth College	Your environment	Community	Background & Identity	REFL
Massachusetts Institute of Technology	Your own trail	Challenge & Growth	Academic Context	DESC
