ID,School,External ref,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Prompt function,Classifier confidence,Full written prompt,Word limit,Requirement,Scope
21,"University of California, Irvine",we-invite-you-to-submit-examples-of-your-creative-work,We invite you to submit examples of your creative work and a statement,,Creativity,,,,,,,,0,"We invite you to submit examples of your creative work and a statement about who you are and what aspect of design you’re interested in. The statement about yourself can take any form you choose, including essay, self-tape, song, etc.",The source states no word or character limit.,optional,
22,"University of California, Irvine",because-so-much-art-is-collaborative-please-include-a,"Because so much art is collaborative, please include a sentence or two",Community,Contribution,Collaboration,,,,,,,67,"Because so much art is collaborative, please include a sentence or two with each submission outlining what your specific contribution was.",The source states no word or character limit.,optional,
23,"University of California, Irvine",a-statement-about-why-directing-your-production-of-the,A statement about why directing your production of the play is,,,,,,,,,,0,A statement about why directing your production of the play is important to you. The statement can either be written (400-500 words) or a self-tape (3-5 minutes).,500w,optional,
24,"University of California, Irvine",we-invite-you-to-submit-a-short-essay-3-5-pages-that,We invite you to submit a short essay (3-5 pages) that analyzes a,Background & Identity,Personal Statement,Intellectual Curiosity,,,,,,,29,"We invite you to submit a short essay (3-5 pages) that analyzes a dramatic text, a performance, or another cultural event that excites you. This can be something new, or you are welcome to submit an essay you’re especially proud of.",Limit: 5 pages.,optional,
25,"University of California, Irvine",a-one-page-self-statement-about-who-you-are-as-a-14,A one-page self-statement about who you are as a developing artist,,Creativity,,,,,,,,0,A one-page self-statement about who you are as a developing artist,Limit: 1 page.,optional,
26,"University of California, Irvine",for-the-following-questions-please-feel-free-to-share,"For the following questions, please feel free to share any anecdotes or",Why Major,Community,Personal Statement,Leadership,,,,,,40,"For the following questions, please feel free to share any anecdotes or personal stories that will provide further insight on your answers. - Please describe what you think are the most important attributes of leadership and please describe how you implement those attributes to your own leadership style. - Please describe what you would consider effective pillars of communication and how has it affected the ways you engage your artistry. - In moments of high stress or uncertainty, what techniques or approaches have you implemented in your daily life that have kept you grounded and how has that approach been implemented into your artistry? - Please describe what collaboration means to you and describe your artistic approach in your *area of interest*. You may submit your answers in either written form (500 words maximum) or as a self-tape response.",500w,optional,
27,"University of California, San Diego",create-an-artist-s-statement-of-no-more-than-500-words,Create an artist’s statement of no more than 500 words that briefly,,Creativity,,,,,,,,0,Create an artist’s statement of no more than 500 words that briefly describes your art practice and how your selected Visual Arts program will help to cultivate this practice,500w,optional,
28,"University of California, San Diego",provide-a-previously-written-research-paper-or-paper,Provide a previously written research paper or paper excerpt (no more,Background & Identity,Personal Statement,Intellectual Curiosity,,,,,,,40,"Provide a previously written research paper or paper excerpt (no more than three pages) that showcases your interest in art or cultural history and research (you can draw on the disciplines of art history, history, sociology, anthropology, communication, literature and other areas of cultural inquiry).",Limit: 3 pages.,optional,
29,"University of California, San Diego",provide-a-personal-statement-of-no-more-than-500-words,Provide a personal statement of no more than 500 words that describes,,,,,,,,,,0,"Provide a personal statement of no more than 500 words that describes your interest in art history, your future professional goals, and your specific interest in the UCSD Visual Arts department.",500w,optional,
30,"University of California, San Diego",all-applicants-must-submit-a-statement-of-interest-of,All applicants must submit a statement of interest of no more than 500,Why Major,Personal Statement,Goals & Future,,,,,,,33,"All applicants must submit a statement of interest of no more than 500 words in which you describe your musical experience, and your musical, educational, and career goals.",500w,optional,
31,"University of California, San Diego",please-list-and-describe-each-item-you-upload,Please list and describe each item you upload,Community,Collaboration,,,,,,,,50,"Please list and describe each item you upload. If you have collaborated with others, please clearly explain exactly what your role was, and who else participated.",The source states no word or character limit.,optional,
32,"University of California, San Diego",please-submit-a-1-minute-video-or-a-written-statement,Please submit a 1-minute video OR a written statement of no more than,,Intellectual Curiosity,Creativity,,,,,,,0,Please submit a 1-minute video OR a written statement of no more than 350 words answering the following prompt: “What sparks your passion and curiosity about this artistic field?” We want to know about your genuine interest in Theatre & Dance.,350w,optional,
33,"University of California, San Diego",please-submit-1-3-examples-of-your-work-that-best,Please submit 1-3 examples of your work that best demonstrates your,Why Major,Personal Statement,,,,,,,,40,"Please submit 1-3 examples of your work that best demonstrates your experiences in your area of interest. This may include images, text (no more than 800 words), or videos (no more than 3 minutes for all videos combined). Please list and briefly describe each item you upload. Please note if the work is your original piece or how you assisted on the project.",800w,optional,
34,"University of California, Santa Barbara",write-a-letter-to-the-attention-of-the-ccs-art-faculty,"Write a letter to the attention of the CCS Art faculty, stating your",Why Major,Background & Identity,,,,,,,,50,"Write a letter to the attention of the CCS Art faculty, stating your academic interests, your reasons for wanting to study at CCS, and your background in Art. In addition, please describe any aspects of your personal background, accomplishments, or experiences with diversity that you feel are important in evaluating your application. This letter is separate from the essay required in the UC application.",The source states no word or character limit.,conditional,Art
35,"University of California, Santa Barbara",write-a-letter-to-the-attention-of-the-ccs-biology,"Write a letter to the attention of the CCS Biology faculty, stating",Why Major,Background & Identity,Goals & Future,,,,,,,67,"Write a letter to the attention of the CCS Biology faculty, stating your academic interests, your reasons for wanting to study at CCS, and your background in Biology. If you have a future career goal, explain how you believe CCS will help you reach that goal. This letter is separate from the essay required in the UC application.",The source states no word or character limit.,conditional,Biology
36,"University of California, Santa Barbara",write-a-letter-to-the-attention-of-the-ccs-chemistry,Write a letter to the attention of the CCS Chemistry and Biochemistry,Why Major,Background & Identity,,,,,,,,57,"Write a letter to the attention of the CCS Chemistry and Biochemistry faculty, stating your academic interests, your reasons for wanting to study at CCS, and your background in Chemistry. This letter is separate from the essay required in the UC application.",The source states no word or character limit.,conditional,Chemistry & Biochemistry
37,"University of California, Santa Barbara",write-a-letter-to-the-attention-of-the-ccs-computing,"Write a letter to the attention of the CCS Computing faculty, stating",Why Major,Background & Identity,,,,,,,,57,"Write a letter to the attention of the CCS Computing faculty, stating your academic interests, your reasons for wanting to study at CCS, and your background in Computing. This letter is separate from the essay required in the UC application.",The source states no word or character limit.,conditional,Computing
38,"University of California, Santa Barbara",introduce-yourself-and-describe-how-your-interest-in,Introduce yourself and describe how your interest in marine science,,,,,,,,,,0,"Introduce yourself and describe how your interest in marine science developed. What specific question, challenge, or opportunity related to the ocean most motivates you today? Explain why science, as opposed to other fields you might study, is the path you're most drawn to. How do you hope to develop the knowledge, skills, and experiences at CCS to pursue your interests in marine science?",150w,conditional,Marine Science
39,"University of California, Santa Barbara",describe-an-idea-discovery-experience-or-problem-that,"Describe an idea, discovery, experience, or problem that changed the",,,,,,,,,,0,"Describe an idea, discovery, experience, or problem that changed the way you think about marine systems. Explain what made it intellectually compelling and how it challenged your assumptions. How has this experience influenced the kinds of questions you want to explore or the impact you hope to have through your work?",150w,conditional,Marine Science
40,"University of California, Santa Barbara",tell-us-about-a-project-or-problem-you-pursued-inside,Tell us about a project or problem you pursued inside or outside of a,Community,Personal Statement,Intellectual Curiosity,Creativity,,,,,,20,"Tell us about a project or problem you pursued inside or outside of a traditional classroom. This could be a research project, a community initiative, creative work, or another self-directed endeavor. Describe your role, how you approached challenges or setbacks, and how the experience shaped your approach to solving complex problems.",150w,conditional,Marine Science
41,"University of California, Santa Barbara",ccs-provides-students-unusual-freedom-to-shape-their,CCS provides students unusual freedom to shape their own academic path,Why Us,,,,,,,,,75,"CCS provides students unusual freedom to shape their own academic path from the start. Describe why this learning environment appeals to you and how you would take advantage of its flexibility. What disciplines, perspectives, or experiences do you hope to integrate into your education, and how would doing so help you pursue your goals? Why is this program more appealing to you than other marine science programs? Be as specific as possible.",150w,conditional,Marine Science
42,"University of California, Santa Barbara",describe-a-mathematical-problem-that-challenged-you-and,Describe a mathematical problem that challenged you and what steps you,,,,,,,,,,0,Describe a mathematical problem that challenged you and what steps you took to find a solution.,250w,conditional,Mathematics
43,"University of California, Santa Barbara",what-kinds-of-mathematics-have-you-been-exposed-to,"What kinds of mathematics have you been exposed to beyond calculus, if",,,,,,,,,,0,"What kinds of mathematics have you been exposed to beyond calculus, if any?",250w,conditional,Mathematics
44,"University of California, Santa Barbara",describe-any-mathematical-experiences-or-activities,Describe any mathematical experiences or activities that you have been,Activities & Impact,Community,Course,,,,,,,40,"Describe any mathematical experiences or activities that you have been involved into other than taking high school math classes, if any (for example, math camps, math circle, community college classes, math clubs, math competitions, etc)?",250w,conditional,Mathematics
45,"University of California, Santa Barbara",what-unique-qualities-and-characteristics-do-you-bring,What unique qualities and characteristics do you bring as an applicant,Why Us,,,,,,,,,50,What unique qualities and characteristics do you bring as an applicant that make you a good fit for CCS? How might your unique qualities help you achieve your goals during your time here?,250w,conditional,Mathematics
46,"University of California, Santa Barbara",why-have-you-chosen-mathematics-as-opposed-to-another,Why have you chosen mathematics as opposed to another exact science or,Activities & Impact,Personal Statement,Creativity,,,,,,,33,Why have you chosen mathematics as opposed to another exact science or creative activity?,250w,conditional,Mathematics
47,"University of California, Santa Barbara",if-there-is-anything-else-that-you-feel-is-relevant-for,If there is anything else that you feel is relevant for your,,,,,,,,,,0,"If there is anything else that you feel is relevant for your application, please share it here.",250w,conditional,Mathematics
48,"University of California, Santa Barbara",this-is-not-to-be-taken-lightly,This is not to be taken lightly,Why Major,Background & Identity,Personal Statement,Creativity,,,,,,67,"This is not to be taken lightly! Please type a one to three-page letter, addressed to the CCS Music Composition faculty, that answers the following questions: What is your background in music? When did you begin writing music and why? Why are you interested in studying at the College of Creative Studies? What are your career goals at this point in your life? Do you intend to enter the professional music world? Graduate school? What would you like to be doing five years from now? Ten years? Talk a little bit about your music. Why are you interested in writing music? Who are your major influences? What instrument(s) do you play? How do you go about your compositional process? Where do you feel you are in your creative development?",Limit: 3 pages.,conditional,Music Composition
49,"University of California, Santa Barbara",it-is-helpful-though-not-required-to-include-a,"It is helpful, though not required, to include a paragraph about each",,Creativity,,,,,,,,0,"It is helpful, though not required, to include a paragraph about each work submitted. For electronic works, the accompanying information should include technical notes, i.e. what program(s) you used in composing the work; your sound sources, etc., .pdf format is recommended.",The source states no word or character limit.,optional,
50,"University of California, Santa Barbara",the-letter-of-intent-gives-us-additional-information,The letter of intent gives us additional information about your,Why Major,Activities & Impact,Background & Identity,Personal Statement,,,,,,50,"The letter of intent gives us additional information about your motivation and preparation to study physics in an advanced program. The letter should be written in essay format in your own words and should ideally not exceed two pages. Please address the letter to the CCS Physics Admissions Committee that consists of Physics faculty. Your letter may include anything you feel is relevant to your application, however, please make sure to address the following prompts: - What is your background in physics? (This is a great opportunity to discuss any extracurricular activities in Physics that you participated in). - What is your background in mathematics, specifically calculus? - Why are you interested in studying at the College of Creative Studies? - What are your career goals at this point in your life? What would you like to be doing ten years from now? - Why are you interested in physics? When did you first get interested in Physics? Who (if any) are your major influences?",Limit: 2 pages.,conditional,Physics
51,"University of California, Santa Barbara",submit-a-2-3-page-letter-professionally-formatted-and,"Submit a 2-3 page letter, professionally formatted and addressed to the",Community,Personal Statement,,,,,,,,20,"Submit a 2-3 page letter, professionally formatted and addressed to the W&L faculty. Your letter should: - Briefly introduce yourself. Who you are, where you are from, your interests, and your goals. - Describe your most recent reading experience (and here we acknowledge that one can read a variety of texts -- from more traditional books and stories to films, music, and multimedia compositions) that changed your understanding of literature, life, and/or language? Are there any works that you wish to emulate or that inspire you as a writer? - Describe your work as a writer so far. What motivates you to write? In what ways have you pursued writing both in school and outside of school? - What kind of work would you like to do as a writer or as a student of literature in the CCS Writing & Literature community? This letter is separate from the essay required in the UC application.",Limit: 3 pages.,conditional,Writing & Literature
52,Bucknell University,please-explain-your-interest-in-your-first-choice-major,Please explain your interest in your first-choice major/undecided,Why Major,,,,,,,,,50,Please explain your interest in your first-choice major/undecided status and your second-choice major (should you opt to list one) and why you would choose Bucknell University to pursue your interest(s).,250w,required,
53,Carleton College,think-about-someone-you-connect-with-who-s-different,Think about someone you connect with who’s different from you,,Values,,,,,,,,0,Think about someone you connect with who’s different from you. What do you find most meaningful about your interactions with them?,300w,required,
54,Carleton College,anything-missing,Anything missing,,,,,,,,,,0,"Anything missing? Do you want to share more with us? If so, use this space to fill any gaps you think would assist us in reviewing your application.",The source states no word or character limit.,optional,
55,Case Western Reserve University,in-the-college-application-process-you-are-constantly,"In the college application process, you are constantly prompted for a",,,,,,,,,,0,"In the college application process, you are constantly prompted for a list of your achievements, awards, and accomplishments. While this information is useful to us, we are interested in hearing more about you. Describe an event, achievement, or experience of which you are particularly proud but that will not show up on a resume, may not garner any recognition, and does not appear anywhere else on your admission application.",750w,conditional,Pre-Professional Scholars Program (Medicine or Dental Medicine)
56,Case Western Reserve University,by-applying-to-the-pre-professional-scholars-program,"By applying to the Pre-Professional Scholars Program, you are applying",,Leadership,,,,,,,,0,"By applying to the Pre-Professional Scholars Program, you are applying to gain admission to professional school earlier than students who apply in the traditional way. Please indicate why you’re interested in your chosen profession. How do you see yourself being particularly suited to this field? What events and/or experiences have led you to your choice?",500w,conditional,Pre-Professional Scholars Program (Medicine or Dental Medicine)
57,University of Chicago,how-does-the-university-of-chicago-as-you-know-it-now,"How does the University of Chicago, as you know it now, satisfy your",Community,,,,,,,,,50,"How does the University of Chicago, as you know it now, satisfy your desire for a particular kind of learning, community, and future? Please address with some specificity your own wishes and how they relate to UChicago.",The source states no word or character limit.,required,
58,University of Chicago,food-for-thought-how-do-thoughts-eat,Food for thought: How do thoughts eat,,,,,,,,,,0,Food for thought: How do thoughts eat?,The source states no word or character limit.,optional,uchicago-extended-essay
59,University of Chicago,the-james-webb-space-telescope-launched-in-2021-utilized,"The James Webb Space Telescope, launched in 2021, utilized",,Creativity,,,,,,,,0,"The James Webb Space Telescope, launched in 2021, utilized origami-inspired techniques to compactly store and deploy its sunshield in space. Choose an artistic practice and use its principles to propose an elegant solution to a problem.",The source states no word or character limit.,optional,uchicago-extended-essay
60,University of Chicago,sometimes-metaphors-get-mixed-up,Sometimes metaphors get mixed up,,,,,,,,,,0,"Sometimes metaphors get mixed up. For one reason or another, one could say, “we’ll burn that bridge when we get there” or “the world is your china shop”. Make up your own mixed metaphor. Explain how it could make sense, be understood, or even applied.",The source states no word or character limit.,optional,uchicago-extended-essay
61,University of Chicago,the-olympics-have-long-celebrated-the-pinnacle-of-human,The Olympics have long celebrated the pinnacle of human athletic,Activities & Impact,Personal Statement,Creativity,,,,,,,33,"The Olympics have long celebrated the pinnacle of human athletic achievement. But what if they expanded to honor the mundane? Imagine a new Olympic event built around an everyday activity like speed dishwashing or competitive grocery bagging. How is it scored, officiated, and judged? Why is it a worthy addition?",The source states no word or character limit.,optional,uchicago-extended-essay
62,University of Chicago,ai-allen-iverson,AI: Allen Iverson,Background & Identity,,,,,,,,,50,"AI: Allen Iverson. NASA, or the North American Saxophone Alliance. Share a potentially confounding, comedic, or captivating example of MIA (Mistaken Identity of Acronym) and tell us its backstory.",The source states no word or character limit.,optional,uchicago-extended-essay
63,University of Chicago,and-as-always-the-classic-choose-your-own-adventure,"And, as always… the classic choose your own adventure option",,Creativity,,,,,,,,0,"And, as always… the classic choose your own adventure option! In the spirit of adventurous inquiry, choose one of our past prompts (or create a question of your own). Be original, creative, thought provoking. Draw on your best qualities as a writer, thinker, visionary, social critic, sage, citizen of the world, or future citizen of the University of Chicago; take a little risk, and have fun!",The source states no word or character limit.,optional,uchicago-extended-essay
64,Colgate University,on-colgate-s-campus-students-engage-with-individuals,"On Colgate’s campus, students engage with individuals from a variety of",Why Us,Personal Statement,Short Answer,Course,,,,,,40,"On Colgate’s campus, students engage with individuals from a variety of socioeconomic backgrounds, races, ethnicities, religions, and perspectives during the course of their educational and social experiences. In 250 words or less, please share the benefits you see in engaging with a diverse body of students, faculty, and staff as part of your Colgate experience.",250w,optional,
65,Colgate University,colgate-students-immerse-themselves-in-social-and,Colgate students immerse themselves in social and intellectual pursuits,Short Answer,Intellectual Curiosity,,,,,,,,40,Colgate students immerse themselves in social and intellectual pursuits that inspire them. Tell us in 250 words or less what inspires you and why you want to pursue that at Colgate.,250w,optional,
66,Colgate University,please-complete-the-following-so-we-can-learn-a-bit,Please complete the following so we can learn a bit more about you,Community,Background & Identity,Personal Statement,Short Answer,,,,,,29,"Please complete the following so we can learn a bit more about you. Each response should be no more than 13 words. 1. I am fascinated by… 2. My favorite book, movie, or television show is… 3. The person I admire most is… 4. In the future, I hope to… 5. One historical figure I would like to meet is… 6. My favorite food is… 7. One thing I would change is… 8. My favorite place is… 9. I am the best version of myself when… 10. Something that has changed my perspective is… 11. I am seeking a community that… 12. My favorite family/community/cultural tradition is… 13. I am drawn to Colgate University because…",13w,optional,
67,University of Colorado Boulder,in-500-words-or-fewer-please-describe-your-musical,"In 500 words or fewer, please describe your musical background and your",Background & Identity,Personal Statement,Short Answer,,,,,,,40,"In 500 words or fewer, please describe your musical background and your goals for the future. How do you hope to progress toward your goals at CU Boulder?",500w,conditional,Most undergraduate music programs
68,University of Colorado Boulder,please-also-submit-a-personal-statement-detailing-your,Please also submit a personal statement detailing your goals and,Why Us,Community,Background & Identity,Personal Statement,,,,,,40,Please also submit a personal statement detailing your goals and aspirations for your time at CU Boulder and why you are interested in joining our community. Your statement should provide a snapshot of your creative life and identity–we want to get to know you.,The source states no word or character limit.,conditional,Composition
69,University of Colorado Boulder,a-personal-statement-150-200-words-describing-your,A personal statement (150-200 words) describing your goals and reasons,,,,,,,,,,0,A personal statement (150-200 words) describing your goals and reasons for pursuing studies in music production.,200w,conditional,Music Production
70,University of Colorado Boulder,for-each-recording-in-a-separate-document-describe-the,"For each recording, in a separate document, describe the equipment",Challenge & Growth,Personal Statement,,,,,,,,33,"For each recording, in a separate document, describe the equipment used, your recording and production process(es) and any specific limitations that you encountered and how you overcame them.",The source states no word or character limit.,conditional,Music Production
71,University of Colorado Boulder,for-the-written-analysis-describe-in-your-own-words-any,"For the written analysis describe, in your own words, any two of the",,,,,,,,,,0,"For the written analysis describe, in your own words, any two of the following songs. You should discuss the form, lyrics, instrumentation, and general musical elements (chords, melody, style, etc) of each of the two songs you choose. - “Norwegian Wood” by the Beatles - “16 Carriages” by Beyoncé - “I Ain’t Goin’ Out Like That” by Cypress Hill - “Wrecking Ball” by Miley Cyrus - “Always On My Mind” by Willie Nelson",The source states no word or character limit.,conditional,Songwriting
72,University of Colorado Boulder,write-a-personal-statement-150-250-words-describing,Write a personal statement (150-250 words) describing your goals and,Why Major,Personal Statement,Contribution,Goals & Future,,,,,,40,Write a personal statement (150-250 words) describing your goals and reasons for pursuing studies in songwriting at CU Boulder. This should be uploaded to fulfill the “Music Essay” requirement on your checklist. Please address the following questions in your statement: - What are your short and long-term career goals? - What or who are your musical influences? - What instrument(s) do you play? - What strengths do you think you will bring to the Songwriting program?,250w,conditional,Songwriting
73,University of Colorado Boulder,you-must-submit-a-short-research-paper-7-12-pages,You must submit a short research paper (7-12 pages double-spaced) no,,Intellectual Curiosity,,,,,,,,0,"You must submit a short research paper (7-12 pages double-spaced) no later than Feb. 1 via your applicant portal. This paper will be evaluated for clarity, accuracy and critical acuity. It need not be on music but should rather represent your best work in any field and show your ability to research a topic and evaluate information critically.",Limit: 12 pages.,conditional,Musicology
74,Columbia University,list-the-titles-of-texts-resources-and-outlets-that,"List the titles of texts, resources and outlets that have contributed",,Intellectual Curiosity,Contribution,,,,,,,0,"List the titles of texts, resources and outlets that have contributed to your intellectual development outside of academic courses, including but not limited to books, journals, websites, podcasts, essays, plays, presentations, videos, museums and other content that you enjoy.",100w,required,
75,Columbia University,tell-us-about-an-aspect-of-your-life-so-far-or-your,Tell us about an aspect of your life so far or your lived experience,Community,Background & Identity,Personal Statement,Contribution,,,,,,40,"Tell us about an aspect of your life so far or your lived experience that is important to you, and describe how it has shaped the way you would learn from and contribute to Columbia's multidimensional and collaborative environment.",150w,required,
76,Columbia University,at-columbia-students-representing-a-wide-range-of,"At Columbia, students representing a wide range of perspectives are",Community,Personal Statement,,,,,,,,33,"At Columbia, students representing a wide range of perspectives are invited to live and learn together. In such a community, questions and debates naturally arise. Please describe a time when you did not agree with someone and discuss how you engaged with them and what you took away from the interaction.",150w,required,
77,Columbia University,in-college-university-students-are-often-challenged-in,"In college/university, students are often challenged in ways that they",Challenge & Growth,Personal Statement,,,,,,,,40,"In college/university, students are often challenged in ways that they could not anticipate. Please describe a situation in which you have navigated through adversity and discuss how you changed as a result.",150w,required,
78,Columbia University,why-are-you-interested-in-attending-columbia-university,Why are you interested in attending Columbia University,,,,,,,,,,0,Why are you interested in attending Columbia University? We encourage you to consider the aspect(s) that you find unique and compelling about Columbia.,150w,required,
79,Columbia University,what-attracts-you-to-your-preferred-areas-of-study-at,What attracts you to your preferred areas of study at Columbia College,Why Us,Why Major,,,,,,,,40,What attracts you to your preferred areas of study at Columbia College or Columbia Engineering?,150w,conditional,Columbia College or Columbia Engineering
80,Cornell University,what-interests-you-about-the-major-you-selected,What interests you about the major you selected,,,,,,,,,,0,"What interests you about the major you selected? Tell us about experiences (both in and outside of the classroom), questions, and goals that influenced your choice.",350w,conditional,College of Agriculture and Life Sciences
81,Cornell University,what-draws-you-to-cornell-s-college-of-agriculture-and,What draws you to Cornell’s College of Agriculture and Life Sciences,Why Us,Community,Personal Statement,,,,,,,40,"What draws you to Cornell’s College of Agriculture and Life Sciences (CALS)? Reflect on the learning, community, or impact opportunities that matter most to you, and share how they align with Cornell CALS (as you understand it currently).",350w,conditional,College of Agriculture and Life Sciences
82,Cornell University,describe-how-your-interests-connect-to-architecture,Describe how your interests connect to architecture,,Creativity,,,,,,,,0,"Describe how your interests connect to architecture. Include an example of a creative project, design experience, or personal passion that sparked your interest in pursuing a 5-year professional degree in architecture. Reflect on how this experience shaped your understanding of the field and your motivation to study architecture.",650w,conditional,Bachelor of Architecture
83,Cornell University,submit-an-artist-statement-describing-your-creative,Submit an artist statement describing your creative interests and,,Creativity,,,,,,,,0,"Submit an artist statement describing your creative interests and practice. Address how your work reflects your artistic voice, influences, and process, and how studying art at Cornell AAP would support and expand your practice. (You will also be prompted to upload a copy to your Slideroom portal.)",650w,conditional,Bachelor of Fine Arts
