"ID","School","Prompt title","Review primary","Review secondaries","Prompt function","Stored primary slug","Stored secondary families","Stored secondary tags","Current display name","Word limit","External ref"
"24","Stanford University","Historical moment you wish you'd witnessed","Short Answer","Intellectual Curiosity","describe","shorts","","intellectual curiosity","Short Answer","50w","short-answer-historical-moment"
"25","Stanford University","An extracurricular, job, or responsibility","Other","Activities & Impact","describe","other","","activities & impact","Other","50w","short-answer-activity"
"26","Stanford University","Five things that matter to you","Short Answer","Values","describe","shorts","","values & meaning","Short Answer","50w","short-answer-five-things"
"27","Massachusetts Institute of Technology","Field of study that appeals to you","Why Major","Intellectual Curiosity","explain motivation","why-major","","intellectual curiosity","Why Major","200w","essay-field-of-study"
"28","Massachusetts Institute of Technology","Your own trail","Challenge & Growth","Academic Context","describe","challenge-growth","","academic context","Challenge & Growth","200w","essay-own-trail"
"29","Massachusetts Institute of Technology","Problems you want to tackle at MIT","Why Major","Why Us; Contribution","explain motivation","why-major","why-us","contribution","Why Major","200w","essay-mit-impact"
"30","Massachusetts Institute of Technology","An unexpected challenge","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","200w","essay-unexpected-challenge"
"31","Massachusetts Institute of Technology","Just for fun","Short Answer","","describe","shorts","","","Short Answer","50w","short-answer-fun"
"32","Massachusetts Institute of Technology","Someone you admire","Other","Values","describe","other","","values & meaning","Other","50w","short-answer-admire"
"33","Massachusetts Institute of Technology","A topic you could talk about for hours","Other","Intellectual Curiosity","describe","other","","intellectual curiosity","Other","50w","short-answer-topic"
"34","Massachusetts Institute of Technology","Generalist or specialist","Other","Intellectual Curiosity; Values","reflect","other","","intellectual curiosity; values & meaning","Other","50w","short-answer-generalist"
"35","Harvard University","Life experiences and contribution to Harvard","Background & Identity","Contribution","discuss future contribution","diversity","","contribution","Identity & Background","150w","short-answer-life-experiences"
"36","Harvard University","A strong disagreement","Background & Identity","Disagreement","demonstrate growth","diversity","","disagreement","Identity & Background","150w","short-answer-disagreement"
"37","Harvard University","Activities, employment, travel, or family responsibilities","Other","Activities & Impact","describe","other","","activities & impact","Other","150w","short-answer-activities-shaped-you"
"38","Harvard University","Using your Harvard education","Other","Goals & Future; Contribution","state a future goal","other","","goals & future; contribution","Other","150w","short-answer-future-use"
"39","Harvard University","Top 3 things your roommates might like to know","Roommate","","describe","roommate","","","Roommate","150w","short-answer-roommates"
"40","Georgetown University","Most significant activity","Other","Activities & Impact","reflect","other","","activities & impact","Other","250w","short-essay-activity"
"41","Georgetown University","A differing viewpoint","Background & Identity","Disagreement","demonstrate growth","diversity","","disagreement","Identity & Background","250w","short-essay-differing-viewpoint"
"42","Georgetown University","Personal or creative essay","Personal Statement","","reflect","personal-statement","","","Personal Statement","650w","essay-personal-creative"
"43","Georgetown University","School-specific: College of Arts & Sciences","Why Major","Why Us","explain motivation","why-major","why-us","","Why Major","no limit","school-essay-college-arts-sciences"
"44","Georgetown University","School-specific: McCourt School of Public Policy","Why Major","Why Us; Service","explain motivation","why-major","why-us","service","Why Major","no limit","school-essay-mccourt"
"45","Georgetown University","School-specific: Earth Commons Institute","Why Major","Contribution; Goals & Future","explain motivation","why-major","","contribution; goals & future","Why Major","no limit","school-essay-earth-commons"
"46","Georgetown University","School-specific: Berkley School of Nursing","Why Major","Values","explain motivation","why-major","","values & meaning","Why Major","no limit","school-essay-nursing"
"47","Georgetown University","School-specific: School of Health","Why Major","Goals & Future","explain motivation","why-major","","goals & future","Why Major","no limit","school-essay-health"
"48","Georgetown University","School-specific: Walsh School of Foreign Service","Why Major","Why Us; Service","explain motivation","why-major","why-us","service","Why Major","no limit","school-essay-sfs"
"49","Georgetown University","School-specific: McDonough School of Business","Why Major","Values","explain motivation","why-major","","values & meaning","Why Major","no limit","school-essay-mcdonough"
"50","Princeton University","Academic interest (A.B. degree or undecided)","Why Major","Why Us; Intellectual Curiosity","connect to school","why-major","why-us","intellectual curiosity","Why Major","250w","academic-interest-ab"
"51","Princeton University","Academic interest (B.S.E. degree)","Why Major","Why Us; Activities & Impact","connect to school","why-major","why-us","activities & impact","Why Major","250w","academic-interest-bse"
"52","Princeton University","Your Voice: lived experience","Background & Identity","Disagreement; Contribution","discuss future contribution","diversity","","disagreement; contribution","Identity & Background","500w","your-voice-1"
"53","Princeton University","Your Voice: service and civic engagement","Other","Service; Contribution; Values","reflect","other","","service; contribution; values & meaning","Other","250w","your-voice-2"
"54","Princeton University","More About You: a new skill","Short Answer","Intellectual Curiosity","state a future goal","shorts","","intellectual curiosity","Short Answer","50w","more-about-you-skill"
"55","Princeton University","More About You: what brings you joy","Short Answer","","describe","shorts","","","Short Answer","50w","more-about-you-joy"
"56","Princeton University","More About You: soundtrack of your life","Short Answer","","describe","shorts","","","Short Answer","50w","more-about-you-song"
"57","Yale University","Academic interests","Why Major","Intellectual Curiosity","describe","why-major","","intellectual curiosity","Why Major","200w","short-answer-academic-interests"
"58","Yale University","A topic or idea that excites you","Why Major","Intellectual Curiosity","describe","why-major","","intellectual curiosity","Why Major","200w","short-answer-topic-excites"
"59","Yale University","Short Take: teach, write, or create","Short Answer","Course; Creativity","describe","shorts","","course; creativity","Short Answer","200ch","short-take-teach-write-create"
"60","Yale University","Short Take: grow or develop","Other","Challenge & Growth; Values","state a future goal","other","challenge-growth","values & meaning","Other","200ch","short-take-grow-develop"
"61","Yale University","Short Take: not included elsewhere","Short Answer","","describe","shorts","","","Short Answer","200ch","short-take-not-elsewhere"
"62","Yale University","Choose One: an opposing view","Background & Identity","Disagreement","reflect","diversity","","disagreement","Identity & Background","400w","essay-opposing-view"
"63","Yale University","Choose One: a meaningful community","Community","","reflect","community","","","Community","400w","essay-community"
"64","Yale University","Choose One: personal experience","Background & Identity","Contribution","reflect","diversity","","contribution","Identity & Background","400w","essay-personal-experience"
"65","University of California, Berkeley","PIQ 1: Leadership experience","Other","Leadership; Contribution","explain impact","other","","leadership; contribution","Other","350w","piq-1-leadership"
"66","University of California, Berkeley","PIQ 2: Creative side","Other","Creativity","describe","other","","creativity","Other","350w","piq-2-creativity"
"67","University of California, Berkeley","PIQ 3: Greatest talent or skill","Other","Activities & Impact","explain impact","other","","activities & impact","Other","350w","piq-3-talent"
"68","University of California, Berkeley","PIQ 4: Educational opportunity or barrier","Challenge & Growth","Academic Context","demonstrate growth","challenge-growth","","academic context","Challenge & Growth","350w","piq-4-educational-opportunity"
"69","University of California, Berkeley","PIQ 5: Most significant challenge","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","350w","piq-5-challenge"
"70","University of California, Berkeley","PIQ 6: An academic subject that inspires you","Why Major","Intellectual Curiosity","explain impact","why-major","","intellectual curiosity","Why Major","350w","piq-6-academic-interest"
"71","University of California, Berkeley","PIQ 7: Made your community a better place","Other","Contribution","explain impact","other","","contribution","Other","350w","piq-7-community"
"72","University of California, Berkeley","PIQ 8: What makes you a strong candidate","Other","","reflect","other","","","Other","350w","piq-8-strong-candidate"
"73","University of California, Los Angeles","PIQ 1: Leadership experience","Other","Leadership; Contribution","explain impact","other","","leadership; contribution","Other","350w","piq-1-leadership"
"74","University of California, Los Angeles","PIQ 2: Creative side","Other","Creativity","describe","other","","creativity","Other","350w","piq-2-creativity"
"75","University of California, Los Angeles","PIQ 3: Greatest talent or skill","Other","Activities & Impact","explain impact","other","","activities & impact","Other","350w","piq-3-talent"
"76","University of California, Los Angeles","PIQ 4: Educational opportunity or barrier","Challenge & Growth","Academic Context","demonstrate growth","challenge-growth","","academic context","Challenge & Growth","350w","piq-4-educational-opportunity"
"77","University of California, Los Angeles","PIQ 5: Most significant challenge","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","350w","piq-5-challenge"
"78","University of California, Los Angeles","PIQ 6: An academic subject that inspires you","Why Major","Intellectual Curiosity","explain impact","why-major","","intellectual curiosity","Why Major","350w","piq-6-academic-interest"
"79","University of California, Los Angeles","PIQ 7: Made your community a better place","Other","Contribution","explain impact","other","","contribution","Other","350w","piq-7-community"
"80","University of California, Los Angeles","PIQ 8: What makes you a strong candidate","Other","","reflect","other","","","Other","350w","piq-8-strong-candidate"
"81","University of California, Davis","PIQ 1: Leadership experience","Other","Leadership; Contribution","explain impact","other","","leadership; contribution","Other","350w","piq-1-leadership"
"82","University of California, Davis","PIQ 2: Creative side","Other","Creativity","describe","other","","creativity","Other","350w","piq-2-creativity"
"83","University of California, Davis","PIQ 3: Greatest talent or skill","Other","Activities & Impact","explain impact","other","","activities & impact","Other","350w","piq-3-talent"
"84","University of California, Davis","PIQ 4: Educational opportunity or barrier","Challenge & Growth","Academic Context","demonstrate growth","challenge-growth","","academic context","Challenge & Growth","350w","piq-4-educational-opportunity"
"85","University of California, Davis","PIQ 5: Most significant challenge","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","350w","piq-5-challenge"
"86","University of California, Davis","PIQ 6: An academic subject that inspires you","Why Major","Intellectual Curiosity","explain impact","why-major","","intellectual curiosity","Why Major","350w","piq-6-academic-interest"
"87","University of California, Davis","PIQ 7: Made your community a better place","Other","Contribution","explain impact","other","","contribution","Other","350w","piq-7-community"
"88","University of California, Davis","PIQ 8: What makes you a strong candidate","Other","","reflect","other","","","Other","350w","piq-8-strong-candidate"
"89","University of California, Irvine","PIQ 1: Leadership experience","Other","Leadership; Contribution","explain impact","other","","leadership; contribution","Other","350w","piq-1-leadership"
"90","University of California, Irvine","PIQ 2: Creative side","Other","Creativity","describe","other","","creativity","Other","350w","piq-2-creativity"
"91","University of California, Irvine","PIQ 3: Greatest talent or skill","Other","Activities & Impact","explain impact","other","","activities & impact","Other","350w","piq-3-talent"
"92","University of California, Irvine","PIQ 4: Educational opportunity or barrier","Challenge & Growth","Academic Context","demonstrate growth","challenge-growth","","academic context","Challenge & Growth","350w","piq-4-educational-opportunity"
"93","University of California, Irvine","PIQ 5: Most significant challenge","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","350w","piq-5-challenge"
"94","University of California, Irvine","PIQ 6: An academic subject that inspires you","Why Major","Intellectual Curiosity","explain impact","why-major","","intellectual curiosity","Why Major","350w","piq-6-academic-interest"
"95","University of California, Irvine","PIQ 7: Made your community a better place","Other","Contribution","explain impact","other","","contribution","Other","350w","piq-7-community"
"96","University of California, Irvine","PIQ 8: What makes you a strong candidate","Other","","reflect","other","","","Other","350w","piq-8-strong-candidate"
"97","University of California, San Diego","PIQ 1: Leadership experience","Other","Leadership; Contribution","explain impact","other","","leadership; contribution","Other","350w","piq-1-leadership"
"98","University of California, San Diego","PIQ 2: Creative side","Other","Creativity","describe","other","","creativity","Other","350w","piq-2-creativity"
"99","University of California, San Diego","PIQ 3: Greatest talent or skill","Other","Activities & Impact","explain impact","other","","activities & impact","Other","350w","piq-3-talent"
"100","University of California, San Diego","PIQ 4: Educational opportunity or barrier","Challenge & Growth","Academic Context","demonstrate growth","challenge-growth","","academic context","Challenge & Growth","350w","piq-4-educational-opportunity"
"101","University of California, San Diego","PIQ 5: Most significant challenge","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","350w","piq-5-challenge"
"102","University of California, San Diego","PIQ 6: An academic subject that inspires you","Why Major","Intellectual Curiosity","explain impact","why-major","","intellectual curiosity","Why Major","350w","piq-6-academic-interest"
"103","University of California, San Diego","PIQ 7: Made your community a better place","Other","Contribution","explain impact","other","","contribution","Other","350w","piq-7-community"
"104","University of California, San Diego","PIQ 8: What makes you a strong candidate","Other","","reflect","other","","","Other","350w","piq-8-strong-candidate"
"105","University of California, Santa Barbara","PIQ 1: Leadership experience","Other","Leadership; Contribution","explain impact","other","","leadership; contribution","Other","350w","piq-1-leadership"
"106","University of California, Santa Barbara","PIQ 2: Creative side","Other","Creativity","describe","other","","creativity","Other","350w","piq-2-creativity"
"107","University of California, Santa Barbara","PIQ 3: Greatest talent or skill","Other","Activities & Impact","explain impact","other","","activities & impact","Other","350w","piq-3-talent"
"108","University of California, Santa Barbara","PIQ 4: Educational opportunity or barrier","Challenge & Growth","Academic Context","demonstrate growth","challenge-growth","","academic context","Challenge & Growth","350w","piq-4-educational-opportunity"
"109","University of California, Santa Barbara","PIQ 5: Most significant challenge","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","350w","piq-5-challenge"
"110","University of California, Santa Barbara","PIQ 6: An academic subject that inspires you","Why Major","Intellectual Curiosity","explain impact","why-major","","intellectual curiosity","Why Major","350w","piq-6-academic-interest"
"111","University of California, Santa Barbara","PIQ 7: Made your community a better place","Other","Contribution","explain impact","other","","contribution","Other","350w","piq-7-community"
"112","University of California, Santa Barbara","PIQ 8: What makes you a strong candidate","Other","","reflect","other","","","Other","350w","piq-8-strong-candidate"
"113","University of California, Santa Cruz","PIQ 1: Leadership experience","Other","Leadership; Contribution","explain impact","other","","leadership; contribution","Other","350w","piq-1-leadership"
"114","University of California, Santa Cruz","PIQ 2: Creative side","Other","Creativity","describe","other","","creativity","Other","350w","piq-2-creativity"
"115","University of California, Santa Cruz","PIQ 3: Greatest talent or skill","Other","Activities & Impact","explain impact","other","","activities & impact","Other","350w","piq-3-talent"
"116","University of California, Santa Cruz","PIQ 4: Educational opportunity or barrier","Challenge & Growth","Academic Context","demonstrate growth","challenge-growth","","academic context","Challenge & Growth","350w","piq-4-educational-opportunity"
"117","University of California, Santa Cruz","PIQ 5: Most significant challenge","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","350w","piq-5-challenge"
"118","University of California, Santa Cruz","PIQ 6: An academic subject that inspires you","Why Major","Intellectual Curiosity","explain impact","why-major","","intellectual curiosity","Why Major","350w","piq-6-academic-interest"
"119","University of California, Santa Cruz","PIQ 7: Made your community a better place","Other","Contribution","explain impact","other","","contribution","Other","350w","piq-7-community"
"120","University of California, Santa Cruz","PIQ 8: What makes you a strong candidate","Other","","reflect","other","","","Other","350w","piq-8-strong-candidate"
"121","California Institute of Technology","Required STEM Academic Interest","Why Major","Intellectual Curiosity","explain motivation","why-major","","intellectual curiosity","Why Major","200w","academic-interest"
"122","California Institute of Technology","Scholarly Character: Collaboration","Other","Collaboration; Intellectual Curiosity","demonstrate growth","other","","collaboration; intellectual curiosity","Other","200w","scholarly-character-collaboration"
"123","California Institute of Technology","Scholarly Character: Process","Challenge & Growth","Intellectual Curiosity","reflect","challenge-growth","","intellectual curiosity","Challenge & Growth","200w","scholarly-character-process"
"124","California Institute of Technology","Scientific Drive: Learning","Why Major","Intellectual Curiosity","describe","why-major","","intellectual curiosity","Why Major","200w","scientific-drive-learning"
"125","California Institute of Technology","Scientific Drive: Pursuing","Why Major","Intellectual Curiosity; Activities & Impact","explain motivation","why-major","","intellectual curiosity; activities & impact","Why Major","200w","scientific-drive-pursuing"
"126","California Institute of Technology","Scientific Drive: Making","Other","Activities & Impact; Creativity","describe","other","","activities & impact; creativity","Other","200w","scientific-drive-making"
"127","California Institute of Technology","Fun Question","Other","Contribution","discuss future contribution","other","","contribution","Other","150w","fun-contribution"
"128","California Institute of Technology","Optional Academic Context","Other","Academic Context","describe","other","","academic context","Other","no limit","optional-academic-context"
"129","Carnegie Mellon University","Passion behind your intended area of study","Why Major","Intellectual Curiosity","explain motivation","why-major","","intellectual curiosity","Why Major","300w","short-answer-major-inspiration"
"130","Carnegie Mellon University","A successful college experience","Other","Values; Goals & Future","state a future goal","other","","values & meaning; goals & future","Other","300w","short-answer-successful-college-experience"
"131","Carnegie Mellon University","What you want to emphasize","Other","","reflect","other","","","Other","300w","short-answer-emphasize"
"132","Claremont McKenna College","Why Claremont McKenna","Why Us","","connect to school","why-us","","","Why Us","no limit","supplement-why-cmc"
"133","Claremont McKenna College","Open Academy and constructive dialogue","Background & Identity","Disagreement","demonstrate growth","diversity","","disagreement","Identity & Background","no limit","supplement-open-academy-dialogue"
"134","University of Colorado Boulder","Academic interests at CU Boulder","Why Major","Intellectual Curiosity","explain motivation","why-major","","intellectual curiosity","Why Major","250w","short-answer-academic-interest"
"135","Colorado College","The luxury of focus","Other","Challenge & Growth; Intellectual Curiosity","describe","other","challenge-growth","intellectual curiosity","Other","300w","optional-deep-focus"
"136","Dartmouth College","Dartmouth fit","Why Us","","connect to school","why-us","","","Why Us","100w","fit"
"137","Dartmouth College","Your environment","Community","Background & Identity","reflect","community","diversity","","Community","250w","introduce-environment"
"138","Dartmouth College","Introduce yourself","Personal Statement","","reflect","personal-statement","","","Personal Statement","250w","introduce-yourself"
"139","Dartmouth College","What excites you?","Other","Intellectual Curiosity","describe","other","","intellectual curiosity","Other","250w","personal-excitement"
"140","Dartmouth College","A life of purpose","Other","Values; Contribution; Activities & Impact","explain impact","other","","values & meaning; contribution; activities & impact","Other","250w","personal-impact"
"141","Dartmouth College","Insight from reading","Other","Intellectual Curiosity; Values","demonstrate growth","other","","intellectual curiosity; values & meaning","Other","250w","personal-reading"
"142","Dartmouth College","Finding common ground","Background & Identity","Disagreement","describe","diversity","","disagreement","Identity & Background","250w","personal-dialogue"
"143","Dartmouth College","Celebrate your nerdy side","Other","Intellectual Curiosity","describe","other","","intellectual curiosity","Other","250w","personal-nerdy-side"
"144","Dartmouth College","Embracing difference","Background & Identity","Values","reflect","diversity","","values & meaning","Identity & Background","250w","personal-difference"
"145","Davidson College","Why Davidson","Why Us","","connect to school","why-us","","","Why Us","300w","why-davidson"
"146","Davidson College","A curiosity that excites you","Why Major","Intellectual Curiosity","describe","why-major","","intellectual curiosity","Why Major","300w","intellectual-curiosity"
"147","Duke University","Why Duke","Why Us","Why Major; Values","connect to school","why-us","why-major","values & meaning","Why Us","250w","required-why-duke"
"148","Duke University","A community that shaped you","Community","Contribution","reflect","community","","contribution","Community","250w","required-community"
"149","Duke University","Viewpoints and experiences","Background & Identity","Contribution","reflect","diversity","","contribution","Identity & Background","250w","optional-viewpoints"
"150","Duke University","Difference of opinion","Background & Identity","Disagreement","demonstrate growth","diversity","","disagreement","Identity & Background","250w","optional-disagreement"
"151","Duke University","Something you are excited about","Short Answer","Intellectual Curiosity","describe","shorts","","intellectual curiosity","Short Answer","250w","optional-excitement"
"152","Harvey Mudd College","Experiences, community, and problems to solve","Other","Community; Values; Contribution","explain motivation","other","community","values & meaning; contribution","Other","500w","impact-problems-and-community"
"153","Harvey Mudd College","Asking for help","Challenge & Growth","Collaboration","demonstrate growth","challenge-growth","","collaboration","Challenge & Growth","250w","asking-for-help"
"154","Haverford College","Intellectual curiosity at Haverford","Why Major","Why Us; Intellectual Curiosity","connect to school","why-major","why-us","intellectual curiosity","Why Major","200w","intellectual-curiosity-at-haverford"
"155","Haverford College","Community values and the Honor Code","Why Us","Community; Values","connect to school","why-us","community","values & meaning","Why Us","200w","community-values-and-honor-code"
"156","University of Illinois Urbana-Champaign","First-choice major: related experience","Why Major","Activities & Impact","describe","why-major","","activities & impact","Why Major","150w","first-choice-major-experience"
"157","University of Illinois Urbana-Champaign","First-choice major: goals after Illinois","Why Major","Goals & Future","state a future goal","why-major","","goals & future","Why Major","150w","first-choice-major-goals"
"158","University of Illinois Urbana-Champaign","Undeclared: future goals","Why Major","Goals & Future","state a future goal","why-major","","goals & future","Why Major","150w","undeclared-future-goals"
"159","University of Illinois Urbana-Champaign","Undeclared: academic interests","Why Major","","describe","why-major","","","Why Major","150w","undeclared-academic-interests"
"160","University of Illinois Urbana-Champaign","Second-choice major interest","Why Major","Goals & Future","explain motivation","why-major","","goals & future","Why Major","150w","second-choice-major-interest"
"161","Johns Hopkins University","Engaging across differences and building bridges","Background & Identity","Disagreement; Contribution","demonstrate growth","diversity","","disagreement; contribution","Identity & Background","350w","engaging-across-differences"
"162","University of Notre Dame","College-search non-negotiables","Other","Why Us; Values","describe","other","why-us","values & meaning","Other","150w","required-non-negotiables"
"163","University of Notre Dame","Faith and decisions","Other","Background & Identity; Values","reflect","other","diversity","values & meaning","Other","100w","choice-faith"
"164","University of Notre Dame","Distinctive personal experiences","Background & Identity","Contribution","discuss future contribution","diversity","","contribution","Identity & Background","100w","choice-personal-experiences"
"165","University of Notre Dame","Service to others","Other","Service; Contribution","explain impact","other","","service; contribution","Other","100w","choice-service"
"166","University of Notre Dame","What would you fight for?","Other","Values","reflect","other","","values & meaning","Other","100w","choice-fight-for"
"167","North Carolina State University","Why your selected academic programs","Why Major","Why Us","connect to school","why-major","why-us","","Why Major","no limit","required-major-interest"
"168","North Carolina State University","University Honors: curiosity in action","Other","Intellectual Curiosity; Activities & Impact","explain impact","other","","intellectual curiosity; activities & impact","Other","600w","honors-curiosity-to-action"
"169","Northwestern University","Personal context and Northwestern","Background & Identity","Why Us; Contribution","connect to school","diversity","why-us","contribution","Identity & Background","300w","required-personal-context"
"170","Northwestern University","Painting The Rock","Other","Values; Contribution","connect to school","other","","values & meaning; contribution","Other","199w","optional-the-rock"
"171","Northwestern University","An interdisciplinary project","Other","Course; Intellectual Curiosity; Collaboration","discuss future contribution","other","","course; intellectual curiosity; collaboration","Other","199w","optional-interdisciplinary-project"
"172","Northwestern University","Community and belonging","Why Us","Community","connect to school","why-us","community","","Why Us","199w","optional-community-belonging"
"173","Northwestern University","Northwestern's location","Why Us","","connect to school","why-us","","","Why Us","199w","optional-location"
"174","Northwestern University","Diverse perspectives","Background & Identity","Contribution","discuss future contribution","diversity","","contribution","Identity & Background","199w","optional-diverse-perspectives"
"175","New York University","Bridge builders","Background & Identity","Disagreement; Contribution","reflect","diversity","","disagreement; contribution","Identity & Background","250w","bridge-builders"
"176","Oberlin College","Composition: development and influences","Why Major","Intellectual Curiosity; Creativity","describe","why-major","","intellectual curiosity; creativity","Why Major","1000w","composition-development"
"177","Oberlin College","Composition: aspirations","Why Major","Why Us; Goals & Future","state a future goal","why-major","why-us","goals & future","Why Major","1000w","composition-aspirations"
"178","Oberlin College","TIMARA: artistic and academic goals","Why Major","Goals & Future; Creativity","state a future goal","why-major","","goals & future; creativity","Why Major","1000w","timara-goals"
"179","Oberlin College","BA+BFA: artistic influences","Other","Creativity; Intellectual Curiosity","describe","other","","creativity; intellectual curiosity","Other","250w","babfa-influences"
"180","Oberlin College","BA+BFA: integrated-arts vision","Why Major","Why Us; Creativity","connect to school","why-major","why-us","creativity","Why Major","250w","babfa-vision"
"181","Pitzer College","Engaging with a Pitzer core value","Other","Values; Contribution; Activities & Impact","explain impact","other","","values & meaning; contribution; activities & impact","Other","650w","core-values"
"182","Pitzer College","Your college experience and Pitzer fit","Why Us","Activities & Impact; Creativity","connect to school","why-us","","activities & impact; creativity","Why Us","650w","college-fit"
"183","Pomona College","Academic interest","Why Major","Intellectual Curiosity","explain motivation","why-major","","intellectual curiosity","Why Major","150w","academic-interest"
"184","Pomona College","Community values and perspectives","Community","Values; Contribution","discuss future contribution","community","","values & meaning; contribution","Community","250w","short-response-community-values"
"185","Pomona College","An experience outside the classroom","Other","Challenge & Growth; Disagreement","demonstrate growth","other","challenge-growth","disagreement","Other","250w","short-response-outside-classroom"
"186","Pomona College","How others would describe you","Other","Background & Identity","describe","other","diversity","","Other","250w","short-response-how-others-see-you"
"187","Reed College","A Paideia class","Other","Course; Intellectual Curiosity; Contribution","discuss future contribution","other","","course; intellectual curiosity; contribution","Other","500w","paideia-class"
"188","Rice University","Academic areas at Rice","Why Major","Why Us","connect to school","why-major","why-us","","Why Major","150w","academic-areas"
"189","Rice University","The Rice experience","Why Us","","connect to school","why-us","","","Why Us","150w","rice-experience"
"190","Rice University","Residential College perspectives","Background & Identity","Contribution","discuss future contribution","diversity","","contribution","Identity & Background","500w","community-residential-college"
"191","Rice University","Joining a community of change agents","Background & Identity","Contribution","explain motivation","diversity","","contribution","Identity & Background","500w","community-change-agents"
"192","University of Richmond","Make a space more welcoming","Other","Contribution","explain impact","other","","contribution","Other","650w","relentlessly-welcoming"
"193","University of Richmond","Turn ideas into actions","Other","Challenge & Growth; Activities & Impact; Contribution","demonstrate growth","other","challenge-growth","activities & impact; contribution","Other","650w","ideas-into-actions"
"194","University of Richmond","Your unique mark on a Spider community","Background & Identity","Contribution","reflect","diversity","","contribution","Identity & Background","650w","unique-spider"
"195","University of Rochester","Combine curiosity, creativity, and Rochester opportunities","Why Us","Why Major; Intellectual Curiosity","connect to school","why-us","why-major","intellectual curiosity","Why Us","250w","curiosity-creativity"
"196","Texas A&M University","Your story","Challenge & Growth","Background & Identity","demonstrate growth","challenge-growth","diversity","","Challenge & Growth","750w","personal-story"
"197","Texas A&M University","A life event that prepared you for college","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","250w","college-readiness"
"198","Texas A&M University","Life goals and objectives","Short Answer","Goals & Future","state a future goal","shorts","","goals & future","Short Answer","100w","life-goals"
